,0,1,2,3
model,dummy,logistic_regression,decision_tree,random_forest
test_accuracy_mean,0.7346467539058252,0.8024510599668085,0.7280789155572647,0.7877183802704802
test_accuracy_std,9.424729039042568e-05,0.011978618320134698,0.010032843313717293,0.006073623945886173
train_accuracy_mean,0.7346467852727956,0.806310050283607,0.9983138227845908,0.998269457212275
train_accuracy_std,2.3546139112395893e-05,0.003326856558098838,0.0002261495268416135,0.0002941899909336048
test_balanced_accuracy_mean,0.5,0.7198428457615671,0.6512772657481137,0.6903738086154888
test_balanced_accuracy_std,0.0,0.01991785999827666,0.009872784924713982,0.009848477419336558
train_balanced_accuracy_mean,0.5,0.7253523853688162,0.9969829715279666,0.9974868842538204
train_balanced_accuracy_std,0.0,0.005412674484762609,0.0004358319465001179,0.0005970169093938862
test_roc_auc_mean,0.5,0.8461579225027176,0.651446683808627,0.8185400840288573
test_roc_auc_std,0.0,0.012580850974832365,0.010179061870809624,0.008199943626969304
train_roc_auc_mean,0.5,0.8496105857069665,0.9999920965274913,0.9999402306191388
train_roc_auc_std,0.0,0.0030468669881129184,2.001183547833692e-06,2.5855008070097185e-05
test_pr_auc_mean,0.2653532460941748,0.6615361102492812,0.3745344302028434,0.6062271327265117
test_pr_auc_std,9.424729039040346e-05,0.019381024263145218,0.010442094964521559,0.02427726218184345
train_pr_auc_mean,0.2653532147272044,0.6671741498827385,0.999964946807145,0.9998390525072354
train_pr_auc_std,2.3546139112395893e-05,0.005183417385737396,9.191483337706424e-06,7.439828405516642e-05
test_precision_class_##0##_mean,0.7346467539058252,0.8448222101509515,0.8149630527548324,0.82784551890303
test_precision_class_##0##_std,9.424729039042568e-05,0.01177711223852351,0.005556483440830684,0.0055755844534570885
train_precision_class_##0##_mean,0.7346467852727956,0.8475491195683631,0.9978902038407883,0.9984913028395509
train_precision_class_##0##_std,2.3546139112395893e-05,0.0030318894452120255,0.0003289591987575136,0.0004660600224157394
test_precision_class_##1##_mean,0.0,0.6538107624505562,0.4882526378803903,0.6307757673563438
test_precision_class_##1##_std,0.0,0.027027332576555263,0.018498326055898684,0.01586574285321062
train_precision_class_##1##_mean,0.0,0.6615740776420963,0.999495939433708,0.9976553562369155
train_precision_class_##1##_std,0.0,0.006671776767700609,0.00041156380959858505,0.0006236332990461887
test_recall_class_##0##_mean,1.0,0.8958729824930339,0.8149291134360268,0.8978044734182686
test_recall_class_##0##_std,0.0,0.011124178164404879,0.014904195337587568,0.006902243720464998
train_recall_class_##0##_mean,1.0,0.8978619613730838,0.9998187858652976,0.99915437051433
train_recall_class_##0##_std,0.0,0.002131202951295842,0.00014796072140035933,0.0002260527384192156
test_recall_class_##1##_mean,0.0,0.5438127090301004,0.48762541806020065,0.4829431438127091
test_recall_class_##1##_std,0.0,0.040884834220564895,0.02044241711028243,0.021003770525896415
train_recall_class_##1##_mean,0.0,0.5528428093645485,0.9941471571906355,0.995819397993311
train_recall_class_##1##_std,0.0,0.0103408861764149,0.000915924009205983,0.001295312155922212
test_f1_class_##0##_mean,0.8470274991717117,0.8695159763428284,0.8148716763725238,0.8613806152172359
test_f1_class_##0##_std,6.264871540011541e-05,0.007639808444407908,0.008071198665608915,0.003952468563022699
train_f1_class_##0##_mean,0.8470275232118942,0.8719772063129174,0.9988535222684256,0.9988226321456054
train_f1_class_##0##_std,1.5650158758795387e-05,0.0020791415522596105,0.00015356351136365122,0.00019981831851541453
test_f1_class_##1##_mean,0.0,0.5930783839073995,0.48758807505360807,0.546792040388997
test_f1_class_##1##_std,0.0,0.029800519437762185,0.014340403807149727,0.015938105237234605
train_f1_class_##1##_mean,0.0,0.6023139610854107,0.9968140488093328,0.9967358035271298
train_f1_class_##1##_std,0.0,0.00837685235059719,0.0004288625361360482,0.0005574784736436576
